espessura,peso,densidade,umidade,linha,fornecedor,lote,qualidade
1.42,494.5,1.2,,B,local,novo,
1.32,516.7,1.06,11.856691300378435,C,local,reciclado,reprovado
1.45,494.4,1.0,8.759443521243323,A,local,novo,reprovado
1.19,496.8,1.11,14.756004459357658,C,local,novo,reprovado
1.11,510.4,1.09,6.584808441351624,B,,reciclado,reprovado
1.48,511.8,0.97,12.636758567793704,C,local,reciclado,reprovado
1.12,483.4,,12.276305699594193,B,local,reciclado,reprovado
1.25,508.2,0.92,13.620574675054229,B,local,,reprovado
1.06,499.3,1.08,14.815175325378185,C,importado,novo,reprovado
1.25,485.4,1.04,7.435450463697434,B,local,reciclado,reprovado
1.3,490.6,1.0,2.934444730550891,B,local,novo,aprovado
1.24,481.8,1.15,6.913430352422268,C,importado,reciclado,reprovado
1.16,494.4,1.1,12.80827315478148,C,local,novo,reprovado
1.01,490.2,1.13,12.541599513831471,A,local,reciclado,reprovado
1.25,495.3,1.02,5.039548613802145,C,importado,reciclado,aprovado
1.44,503.2,1.18,0.709602104380106,B,importado,novo,reprovado
0.8,509.3,,7.647631467393653,A,importado,reciclado,reprovado
0.89,504.2,,7.111513936182181,B,importado,reciclado,reprovado
0.88,507.1,1.18,1.2864596666569743,C,importado,reciclado,reprovado
1.45,514.6,0.92,11.923349335853922,B,local,reciclado,reprovado
1.26,515.0,0.93,4.253854109078266,C,local,reciclado,reprovado
1.47,514.4,1.2,9.686281382611709,C,local,reciclado,reprovado
1.21,486.1,1.19,1.5223179398249949,C,local,novo,reprovado
1.12,490.0,1.13,12.910547593644043,A,local,novo,reprovado
1.35,500.1,1.05,11.089117547327447,C,importado,novo,reprovado
0.91,,1.05,5.826340634679986,B,local,novo,reprovado
1.07,485.3,0.98,9.442334239848519,A,local,novo,reprovado
1.13,491.5,1.03,2.8118083902836215,A,importado,reciclado,aprovado
1.01,519.0,1.03,14.781337364384177,A,local,reciclado,reprovado
1.06,493.9,0.91,11.94162063140578,B,importado,reciclado,reprovado
0.85,496.8,1.04,11.834100046035406,,local,reciclado,reprovado
0.94,480.3,1.04,2.300703263668142,A,local,reciclado,reprovado
1.03,508.8,1.1,0.26600287340793227,C,importado,novo,aprovado
1.36,496.5,1.05,,C,,novo,reprovado
0.93,484.1,1.16,2.1618091775971644,B,importado,novo,reprovado
1.04,518.7,1.01,11.706501847332675,A,local,reciclado,reprovado
0.85,511.1,1.02,6.2411421026736935,B,local,reciclado,reprovado
1.19,509.0,1.07,5.078913734811476,A,importado,reciclado,aprovado
1.23,518.3,0.96,1.1047389369256582,A,importado,,reprovado
1.41,,1.02,14.940976199169324,C,importado,novo,reprovado
1.37,508.7,1.11,14.340161705803196,,local,,reprovado
1.0,488.2,1.02,,A,local,novo,reprovado
0.9,507.9,1.17,4.992174062722377,A,importado,novo,reprovado
0.91,480.6,1.08,5.8618130703691,C,local,,reprovado
1.48,485.1,0.95,4.4520161717339315,A,local,novo,reprovado
1.27,497.0,1.05,14.01702839482267,,importado,reciclado,
0.83,480.5,1.13,10.82012743533127,A,local,novo,reprovado
0.9,498.5,1.09,14.338746083910975,B,importado,novo,reprovado
1.14,500.9,1.17,13.117581037861468,A,importado,novo,reprovado
0.95,504.9,1.12,11.318122792037594,A,importado,reciclado,reprovado
1.36,484.0,0.92,10.454506606198175,C,importado,reciclado,reprovado
1.2,487.2,0.93,12.992437364692218,C,local,reciclado,reprovado
1.23,504.5,1.09,10.262248451871828,B,local,novo,reprovado
1.12,506.3,0.97,2.830796984717265,C,local,novo,aprovado
0.98,481.0,1.08,9.72189774642147,A,importado,reciclado,reprovado
1.21,501.6,,7.7250245992285995,B,importado,novo,aprovado
1.3,511.4,,14.7284201564299,A,local,novo,reprovado
1.06,482.8,1.02,,A,importado,reciclado,reprovado
1.15,496.5,1.09,0.5768247472656551,A,importado,novo,aprovado
1.39,493.1,0.94,3.9628426614846517,B,importado,reciclado,reprovado
0.9,516.5,1.12,13.760726406821483,C,importado,novo,reprovado
1.18,487.4,1.11,14.435344956699543,C,local,novo,reprovado
1.04,492.7,1.05,10.92747864961157,C,importado,novo,reprovado
1.29,515.9,0.98,0.852958481804556,A,importado,novo,reprovado
0.81,,,0.35312081619398694,B,,novo,reprovado
1.27,501.3,1.05,7.193925041986502,C,importado,reciclado,aprovado
0.87,481.3,0.92,14.995084598413275,B,importado,reciclado,reprovado
0.85,519.4,1.18,13.039451062491077,B,importado,novo,reprovado
1.31,513.0,1.13,13.99661431322997,A,importado,novo,reprovado
1.25,505.4,1.08,9.353122574893792,,local,reciclado,reprovado
,482.4,1.03,12.88687092377252,C,importado,novo,reprovado
1.16,483.0,,4.795475615957888,C,importado,novo,reprovado
1.17,501.8,1.13,0.41046005176547107,B,local,reciclado,aprovado
1.29,491.4,,13.773759423339405,B,importado,novo,reprovado
1.03,504.9,1.1,3.2764593697339874,B,importado,novo,aprovado
0.83,503.9,0.98,10.927295324118447,B,importado,reciclado,reprovado
0.96,513.5,0.96,,C,local,novo,reprovado
0.97,491.3,0.98,2.3724532262948577,C,local,novo,reprovado
1.03,503.1,0.99,2.9366849479671977,A,importado,novo,aprovado
1.46,511.1,1.12,4.936087221446938,B,importado,reciclado,reprovado
1.36,499.6,0.94,11.353959794228768,C,,reciclado,reprovado
1.46,513.2,1.13,0.588663670448501,B,,novo,reprovado
1.5,485.3,1.06,6.106031104328516,C,importado,,reprovado
1.1,509.4,1.02,9.976698094328494,A,importado,novo,reprovado
0.96,517.7,0.99,2.5720641890794966,C,local,reciclado,reprovado
1.19,493.3,1.05,,C,local,novo,aprovado
1.42,494.7,1.0,5.853183615933199,,importado,novo,reprovado
1.13,483.3,1.03,4.29838826792553,B,importado,reciclado,reprovado
1.15,505.7,1.12,9.736434963526484,C,local,novo,reprovado
0.89,502.1,1.09,14.543528047819196,A,importado,novo,reprovado
1.09,481.6,1.12,0.06703403893725146,,importado,,reprovado
1.07,510.1,1.11,13.535698686908386,A,local,reciclado,reprovado
1.05,513.2,1.14,6.498345545857388,C,local,reciclado,reprovado
1.42,516.3,0.96,9.960115939014822,B,importado,novo,reprovado
0.84,501.8,1.2,12.765405492672107,C,importado,reciclado,
1.48,498.1,,8.601879916831864,C,importado,novo,reprovado
0.81,515.0,1.12,1.4596774078700685,C,importado,novo,reprovado
1.46,495.9,1.1,2.1089276356230084,A,local,,reprovado
1.18,506.2,1.07,11.839200634792817,B,importado,novo,reprovado
1.29,504.6,1.2,3.4364734716634935,C,importado,novo,aprovado
0.93,494.9,0.97,8.535564241986508,B,importado,novo,reprovado
,483.5,1.03,6.421207687181692,C,importado,reciclado,reprovado
1.42,480.9,0.94,4.554584742136923,B,local,reciclado,reprovado
0.9,497.1,0.95,,A,importado,novo,reprovado
0.89,499.2,1.11,10.968249783372283,B,,reciclado,reprovado
1.01,512.9,0.9,9.691633267074893,A,,reciclado,reprovado
0.91,496.6,1.17,5.590070526348379,A,local,novo,reprovado
0.88,491.2,1.09,3.39705486031927,B,importado,novo,reprovado
1.27,498.5,1.03,7.738424264972096,C,local,novo,aprovado
0.95,489.5,1.0,12.256561504931554,C,local,novo,reprovado
1.27,483.7,0.94,8.634974555762911,C,local,novo,reprovado
1.4,484.5,1.18,14.55209464792493,C,local,,reprovado
1.26,492.8,1.11,0.23156232093595963,B,importado,reciclado,aprovado
0.88,480.5,1.0,,C,local,reciclado,reprovado
1.2,488.8,0.92,10.371135695380337,C,local,reciclado,reprovado
1.08,511.5,,12.490110257864977,A,importado,reciclado,
1.04,489.4,0.96,5.02428551651183,B,local,novo,reprovado
1.02,484.4,1.14,7.6251199212983325,A,importado,novo,reprovado
1.45,518.0,1.12,11.954838718264972,,local,reciclado,reprovado
1.32,504.9,1.05,11.409742085504798,C,importado,novo,reprovado
0.89,482.4,1.17,5.010516433189139,C,local,novo,reprovado
1.13,482.5,0.95,4.866153525357044,B,importado,novo,reprovado
1.02,504.5,1.04,9.942168043681967,A,local,novo,reprovado
1.48,501.6,1.11,14.004887722079918,C,importado,novo,reprovado
1.48,482.7,0.92,6.58178986011195,A,importado,novo,reprovado
1.02,489.0,1.01,5.29412698963824,C,local,reciclado,reprovado
1.05,517.2,1.07,13.420305543542728,C,importado,reciclado,reprovado
1.22,502.9,1.01,10.24584092184871,C,,reciclado,reprovado
1.14,497.6,1.04,5.824139695591236,C,local,,aprovado
0.95,,1.08,0.8591434627169181,B,importado,reciclado,reprovado
1.26,485.3,1.01,10.822339080716773,,local,novo,reprovado
1.03,496.1,0.93,5.293297360355701,A,importado,reciclado,aprovado
1.26,516.9,0.94,1.058492966585396,B,local,reciclado,reprovado
1.07,,1.06,,B,local,reciclado,reprovado
1.29,519.6,0.95,4.845103057407657,B,importado,reciclado,reprovado
1.27,,,5.076847624657941,,local,reciclado,reprovado
1.16,,,7.187551961218391,C,local,reciclado,aprovado
1.29,481.8,1.0,10.762121509926825,A,importado,reciclado,
1.12,503.4,1.15,4.1449571645444125,B,importado,novo,aprovado
0.88,499.3,1.06,1.2141887366835147,A,local,novo,reprovado
0.93,506.7,0.95,6.366385821592592,B,local,,reprovado
0.97,501.7,1.08,0.8238813467459155,A,importado,novo,reprovado
0.84,495.9,1.1,10.459027648383247,B,importado,,reprovado
1.3,509.5,0.93,14.388652018838613,B,importado,reciclado,reprovado
1.06,481.0,0.99,9.881382114721974,C,local,reciclado,reprovado
0.87,,0.9,4.130856746262804,A,local,novo,reprovado
1.37,484.6,0.99,2.7255358130640523,C,importado,reciclado,reprovado
1.28,497.4,1.0,3.491753569501348,C,importado,novo,aprovado
1.12,511.6,,3.324150047521823,A,local,novo,reprovado
0.97,485.7,0.96,4.707457590667735,C,importado,novo,reprovado
0.91,517.4,0.91,1.4602001719221736,B,importado,reciclado,reprovado
1.12,515.5,0.99,13.435785864696529,B,local,novo,reprovado
1.42,,1.15,13.276807429942616,B,local,reciclado,reprovado
0.93,480.2,1.02,9.228543803522925,B,importado,novo,reprovado
1.2,511.6,1.02,0.9288055030953773,C,importado,novo,reprovado
1.47,515.2,1.04,12.06001111082649,A,importado,reciclado,reprovado
1.25,487.0,1.13,,,local,reciclado,reprovado
1.11,516.6,,1.596318356446977,A,importado,reciclado,reprovado
1.3,516.6,0.93,4.879445889664052,A,local,novo,reprovado
1.38,498.9,0.96,6.472054764983403,C,local,novo,reprovado
1.21,511.9,0.96,5.308334350729788,C,importado,reciclado,reprovado
1.41,,,2.478446714675459,B,local,reciclado,reprovado
1.16,502.6,0.91,1.6819457652266123,A,importado,reciclado,
1.38,492.8,0.99,12.891228400566247,A,importado,novo,reprovado
1.47,486.4,1.08,5.44771838927892,A,importado,reciclado,reprovado
1.15,509.9,1.01,3.278990671672628,B,importado,reciclado,aprovado
1.22,480.1,1.11,7.304870349350631,A,importado,,reprovado
1.23,503.2,1.02,0.5523510080692762,A,local,reciclado,aprovado
1.35,514.6,1.19,9.004217734983756,B,local,novo,reprovado
1.38,488.9,1.19,3.7273438027439716,C,importado,reciclado,reprovado
0.82,493.3,1.14,8.972946211969866,B,local,novo,reprovado
1.31,503.5,1.19,9.211877466688033,B,,novo,reprovado
1.35,489.9,0.96,12.13836287037969,C,local,novo,reprovado
1.29,513.9,,3.448571334142108,A,local,novo,reprovado
1.3,494.7,1.0,6.951969579289203,,importado,novo,aprovado
0.83,,1.12,14.428310072876814,A,local,,reprovado
1.11,489.0,1.01,10.9068726612693,,importado,reciclado,reprovado
1.37,481.7,0.99,14.630157120263375,A,importado,reciclado,reprovado
1.45,486.9,1.19,13.91048569615656,B,importado,novo,reprovado
,481.8,0.96,9.16122895209648,A,local,reciclado,reprovado
1.21,498.7,1.13,3.958955338232151,,local,reciclado,aprovado
1.36,503.5,1.1,11.35386234993625,A,local,novo,reprovado
1.33,481.8,0.99,10.471788687184391,A,local,reciclado,reprovado
1.23,483.6,1.04,8.833351805360966,A,local,reciclado,reprovado
0.81,499.4,0.94,10.467438427369515,C,local,novo,reprovado
1.31,512.0,1.18,9.203796218178764,B,importado,reciclado,reprovado
1.34,505.1,1.19,7.790685346092697,B,local,novo,reprovado
1.31,484.2,1.12,6.2393322252501475,B,local,novo,reprovado
1.34,515.5,,0.6706256186616072,C,local,novo,reprovado
1.1,516.7,0.92,12.985318786547717,C,importado,novo,reprovado
1.5,493.0,1.02,12.983108738996187,C,importado,novo,reprovado
1.34,504.6,1.0,8.910709799533832,C,importado,reciclado,
1.21,499.7,1.07,4.018264577372311,A,local,novo,aprovado
1.45,517.7,0.96,0.4219656605833866,B,local,reciclado,reprovado
1.44,500.3,1.07,0.02143206250461327,A,importado,,
1.37,518.4,1.1,1.0936108458380827,C,importado,reciclado,reprovado
1.19,488.0,0.94,5.398294895267475,C,importado,novo,reprovado
1.17,493.8,0.94,2.8259391899561663,A,importado,novo,aprovado
1.03,511.3,0.91,3.975871284562853,B,importado,,reprovado
0.98,511.3,1.13,10.49490565957398,C,local,novo,reprovado
1.16,509.3,1.0,14.387246615387363,A,local,novo,reprovado
,514.4,0.97,3.1016376453004875,A,local,novo,reprovado
0.97,508.1,1.13,6.984659012047343,A,local,reciclado,reprovado
1.45,505.4,0.94,14.872191022491155,A,importado,novo,reprovado
1.19,498.4,1.03,13.97511597351268,B,local,novo,reprovado
1.17,498.7,1.12,5.2847445454384685,B,importado,reciclado,aprovado
1.1,496.2,1.07,4.795335701971248,C,importado,novo,aprovado
0.84,504.8,1.07,3.63255960505872,C,importado,reciclado,reprovado
1.42,496.3,0.95,2.3310427474363338,B,,,reprovado
1.02,485.9,0.95,6.900781186931675,B,local,novo,reprovado
1.25,484.3,1.07,5.116807701101213,A,importado,novo,reprovado
1.23,517.0,0.91,11.172563908055924,A,local,reciclado,reprovado
1.21,481.0,1.16,3.5529975574576667,A,local,reciclado,reprovado
1.17,484.2,1.01,11.044983585300736,C,importado,novo,reprovado
0.93,497.8,1.02,4.322198789729616,C,local,novo,reprovado
1.0,490.5,0.98,8.890931769713388,C,local,novo,reprovado
1.17,496.2,1.16,9.576451445920966,C,local,novo,reprovado
1.35,484.7,1.09,10.076721382504992,A,importado,reciclado,reprovado
1.1,485.2,1.03,2.630084790558926,C,local,novo,reprovado
0.94,512.0,1.08,4.240670545825415,C,local,,reprovado
0.86,510.4,1.01,3.6917352810784982,A,local,novo,reprovado
1.26,484.2,1.04,8.642406165232204,A,local,reciclado,reprovado
1.1,506.7,1.01,1.1361960340705028,B,importado,reciclado,aprovado
0.89,504.4,1.02,7.773846749412751,A,importado,reciclado,reprovado
1.27,508.5,0.99,1.312005834645627,C,local,novo,aprovado
0.95,499.0,0.92,5.055839848996707,A,importado,novo,
1.16,490.8,0.91,10.30059139426673,C,local,reciclado,reprovado
,506.5,0.95,6.188460825176531,B,importado,novo,aprovado
1.45,494.9,0.98,4.205127590733417,B,local,reciclado,reprovado
0.96,488.8,1.17,9.237857638485517,B,importado,reciclado,reprovado
1.09,496.3,1.08,11.104036687231673,C,local,reciclado,reprovado
1.47,510.5,1.19,3.818774021588944,C,,novo,reprovado
1.02,,1.0,4.490998516438158,B,local,reciclado,aprovado
1.25,492.0,1.02,9.604408754266291,B,importado,novo,reprovado
1.02,513.3,1.12,14.47834890270878,C,importado,,reprovado
0.88,515.3,1.07,3.208073050046635,C,local,novo,reprovado
1.24,497.3,1.06,9.813714535668144,C,local,reciclado,reprovado
1.44,495.0,1.07,13.598847616025822,C,local,novo,reprovado
1.12,504.5,,6.929501475665419,B,importado,novo,aprovado
1.24,482.3,1.13,4.7526633974298695,B,local,reciclado,reprovado
1.23,507.7,1.1,10.003065978098121,A,importado,novo,reprovado
1.09,511.3,,0.47147709721179376,A,importado,reciclado,reprovado
1.23,495.9,1.18,5.4024082580006105,C,local,reciclado,aprovado
0.98,487.0,1.03,3.8696104022567033,B,local,novo,reprovado
1.06,481.2,0.91,3.3693255416764196,C,local,novo,reprovado
1.11,505.5,0.9,2.696388952904449,A,,novo,aprovado
1.4,490.8,0.94,11.055949523789309,C,local,novo,reprovado
1.04,498.6,0.92,14.326496929889466,A,local,reciclado,reprovado
1.24,495.5,1.01,5.771559679829142,A,importado,reciclado,aprovado
0.95,487.0,0.92,0.7365496036206148,B,importado,reciclado,reprovado
0.98,500.3,1.09,10.783677205088667,C,local,reciclado,reprovado
1.25,498.4,0.96,8.073065016953842,B,local,novo,reprovado
1.33,505.0,1.05,10.85466920768712,A,importado,reciclado,reprovado
1.12,490.1,0.93,9.718562462983597,A,importado,reciclado,reprovado
1.03,488.6,1.15,13.58153971445215,C,local,novo,reprovado
1.44,512.6,1.13,2.1066028909037615,C,importado,novo,reprovado
0.9,508.1,1.02,2.537427678896123,C,importado,reciclado,reprovado
1.3,,1.17,5.123538360347056,C,local,reciclado,reprovado
1.28,484.9,0.96,7.370832239961792,A,local,reciclado,reprovado
1.28,489.0,1.14,,A,importado,reciclado,reprovado
1.45,503.0,1.06,13.60446344024941,A,local,,reprovado
1.31,514.3,1.0,13.078081789040658,B,importado,novo,reprovado
1.01,515.7,0.93,3.3379040091538785,B,importado,reciclado,reprovado
1.05,513.3,0.95,10.945145658205284,B,importado,reciclado,reprovado
1.07,481.7,1.16,5.7523761613568904,C,importado,novo,reprovado
0.82,512.8,1.08,,A,importado,novo,reprovado
1.44,516.0,0.97,3.2180375456783565,B,local,novo,reprovado
0.85,482.3,1.05,2.118869298059391,C,local,novo,reprovado
1.29,496.7,0.93,12.635777619502692,,importado,reciclado,reprovado
1.31,501.5,0.93,10.753613926785125,C,,reciclado,reprovado
,489.3,1.17,12.32132517335745,A,local,reciclado,reprovado
1.19,500.7,1.04,2.3691508151719147,C,local,reciclado,aprovado
1.31,515.4,1.01,13.271890316241944,B,local,novo,reprovado
1.01,514.7,1.18,10.164305349707048,C,local,reciclado,reprovado
1.32,517.6,,9.77341204347865,A,importado,novo,reprovado
1.04,499.4,1.0,8.738757946470823,A,importado,reciclado,reprovado
1.43,496.4,0.98,11.473147283867645,C,local,novo,reprovado
0.91,506.6,1.07,6.234124708209354,A,importado,reciclado,reprovado
1.02,496.7,,1.9923186889975086,A,importado,reciclado,aprovado
1.15,481.7,0.9,8.088972997412949,B,local,reciclado,reprovado
1.34,508.8,1.1,11.221529366603434,B,importado,novo,reprovado
1.32,491.2,1.14,2.304711793314902,C,importado,reciclado,reprovado
0.95,482.0,1.08,3.3603100141680313,A,importado,reciclado,reprovado
0.9,480.8,1.16,,A,local,reciclado,reprovado
1.01,517.3,,4.0447640114592325,A,local,novo,reprovado
1.14,490.1,0.96,2.5491129087990143,B,importado,novo,aprovado
1.18,497.9,1.11,13.340881159579476,A,,reciclado,reprovado
1.1,518.0,0.96,2.4134303408123343,B,local,novo,reprovado
1.26,498.7,0.93,5.16222868571014,A,importado,reciclado,aprovado
1.1,483.1,,6.4264543859781655,B,local,novo,reprovado
1.46,,1.13,7.1420997838559455,C,local,novo,reprovado
0.98,483.5,0.91,5.419648887307292,C,importado,novo,reprovado
1.24,483.8,0.99,13.68807749098696,A,,reciclado,reprovado
1.23,514.1,0.94,9.87937831764382,A,local,reciclado,reprovado
1.0,491.6,1.13,5.392419738340538,B,local,reciclado,aprovado
1.09,507.1,1.05,5.365795793064299,B,importado,reciclado,aprovado
1.06,500.4,0.96,7.544287487771214,B,importado,reciclado,aprovado
0.92,488.9,1.13,0.5049480625444996,,importado,,reprovado
1.13,500.7,1.13,13.899642582494394,B,local,,reprovado
1.07,482.8,1.06,3.3496406657106337,,local,novo,reprovado
0.92,493.9,0.98,10.4638884853333,B,importado,reciclado,reprovado
1.11,500.9,1.08,11.66584120508595,A,importado,reciclado,reprovado
1.1,489.1,1.18,12.410745227809642,B,local,reciclado,reprovado
0.89,506.4,0.92,2.484634648012644,B,local,reciclado,reprovado
0.89,482.1,0.98,8.050396046336079,B,importado,novo,reprovado
1.25,499.4,0.99,1.2551154320980518,A,local,reciclado,aprovado
1.29,508.6,1.09,12.071885179703331,C,local,novo,reprovado
1.46,497.2,1.1,7.296773009375857,C,local,reciclado,
0.86,515.0,0.96,2.377335883852166,,importado,reciclado,reprovado
0.88,505.3,0.96,10.780184184120955,A,importado,novo,reprovado
0.84,518.3,1.18,4.967547731279668,C,local,reciclado,reprovado
1.17,491.4,1.13,1.7175990564016135,C,importado,novo,aprovado
1.24,517.6,1.18,6.916107374904714,,importado,novo,reprovado
1.08,504.3,1.15,3.5286989806457214,B,importado,novo,aprovado
1.36,509.8,1.02,14.253327536061635,A,local,novo,reprovado
,516.1,0.94,5.4204248671016595,C,importado,novo,reprovado
1.49,502.0,1.09,8.5867935771975,C,importado,novo,reprovado
0.9,514.5,1.01,14.225414976855927,A,local,reciclado,reprovado
0.84,501.7,1.03,5.90581779851941,C,local,reciclado,reprovado
0.99,504.0,1.03,5.371903106639332,B,importado,reciclado,reprovado
0.81,497.8,1.18,2.43608460589914,C,importado,reciclado,reprovado
1.45,485.8,0.92,14.074553468486478,C,importado,reciclado,reprovado
1.01,502.1,,12.011171675193578,B,local,novo,reprovado
1.19,519.1,1.08,3.3151648353283814,C,importado,reciclado,reprovado
1.02,511.5,1.17,4.9901164162249785,B,local,reciclado,reprovado
0.97,509.9,1.18,13.72367667122927,B,local,reciclado,reprovado
0.91,505.7,1.07,8.059193937117376,B,local,reciclado,reprovado
1.02,493.9,0.91,8.345014299088199,C,importado,reciclado,reprovado
1.23,,1.01,9.722167229270692,B,importado,novo,reprovado
1.48,489.0,1.18,11.432457268616972,A,importado,reciclado,reprovado
1.19,480.3,1.05,14.089283184964948,C,local,novo,reprovado
1.17,,1.12,12.033376102050376,B,local,novo,
0.82,512.5,0.98,14.018237976960322,A,importado,reciclado,reprovado
1.39,490.8,0.91,12.30914637228354,A,importado,reciclado,reprovado
0.83,483.7,1.07,0.6965109092199956,B,local,reciclado,reprovado
1.43,493.4,1.15,1.7630193080541297,A,importado,reciclado,reprovado
1.18,491.7,1.2,13.273393884695011,B,importado,reciclado,reprovado
0.92,498.0,1.15,0.4154467356788555,A,local,novo,reprovado
1.12,490.6,1.07,11.912619732298959,C,local,novo,reprovado
1.5,493.6,1.08,12.747655978552684,B,importado,novo,reprovado
1.01,,1.15,6.231968431236786,A,local,reciclado,reprovado
0.99,493.4,0.91,5.322821292348296,A,,reciclado,reprovado
0.88,511.4,1.19,2.9160632867707443,B,importado,reciclado,reprovado
1.22,505.0,1.06,0.7337830749354446,C,local,reciclado,aprovado
0.86,493.5,1.19,11.180744344664904,B,importado,reciclado,reprovado
1.34,512.7,,1.1059062667107993,A,local,reciclado,reprovado
1.44,,0.95,14.170044420133813,B,importado,reciclado,reprovado
1.45,480.3,0.95,4.451151941625929,C,local,novo,reprovado
0.88,482.7,1.01,11.913664763913477,A,local,novo,reprovado
1.19,510.1,0.98,0.8952397655521604,C,local,,reprovado
0.87,497.9,1.03,8.04418026977808,C,importado,novo,reprovado
,496.2,1.08,,A,local,novo,aprovado
1.37,485.8,1.03,0.45001657767205216,C,local,novo,reprovado
1.18,486.3,0.92,9.836990316137573,A,,reciclado,reprovado
1.41,511.9,1.19,14.147440813627423,,local,reciclado,
1.36,513.2,1.03,0.1612915080459859,C,importado,novo,reprovado
0.99,502.4,1.16,4.056553892703606,A,local,novo,reprovado
1.24,491.8,0.92,10.554086140463474,C,local,novo,
0.81,517.3,1.14,13.068805860624447,C,local,novo,reprovado
1.08,505.0,0.95,2.8616876025011715,C,local,novo,aprovado
0.97,511.9,1.1,1.0607517680815326,B,importado,,reprovado
1.46,,1.1,0.12962100505606255,C,local,reciclado,reprovado
1.08,498.0,1.17,3.228096324842763,B,importado,novo,aprovado
1.26,514.8,1.0,1.069759380813713,A,importado,novo,reprovado
1.31,493.5,0.93,5.390731336538969,A,importado,reciclado,reprovado
1.34,509.1,1.16,6.601886624307703,A,local,reciclado,reprovado
1.32,506.3,1.0,7.198857088233092,B,importado,novo,
1.0,486.1,0.97,2.134939653669114,A,local,novo,reprovado
1.28,511.0,1.05,,A,importado,novo,reprovado
1.18,484.5,0.94,0.13577462633794557,C,local,novo,reprovado
1.22,509.1,0.99,3.5913163218306847,B,local,novo,aprovado
,519.6,1.02,5.5362907396397985,B,local,novo,reprovado
0.98,518.3,0.98,1.775273639153499,B,importado,novo,reprovado
1.45,512.0,1.04,12.210068959759761,A,local,reciclado,reprovado
1.0,501.4,1.02,,B,importado,novo,aprovado
1.11,507.0,1.13,11.323345674694018,A,local,reciclado,reprovado
0.93,509.1,1.18,7.108395591837413,A,local,novo,reprovado
0.9,480.3,0.93,7.196146397177466,A,local,novo,reprovado
0.95,484.1,1.15,9.6779150415844,A,importado,novo,reprovado
1.19,503.9,1.18,0.6641656744949814,C,,reciclado,aprovado
1.44,480.3,,1.1813901000021425,B,local,reciclado,reprovado
1.03,516.4,1.2,4.902652346587711,B,local,reciclado,reprovado
1.03,499.6,,6.252337507525833,A,local,reciclado,aprovado
1.19,490.3,1.15,6.4491119579222955,,local,novo,aprovado
1.05,495.8,1.1,10.15330696238202,A,local,novo,reprovado
1.44,514.0,1.0,,C,local,reciclado,reprovado
1.06,517.1,1.11,14.38657638119533,A,importado,novo,reprovado
1.14,484.6,1.05,2.617311164654173,B,local,novo,reprovado
1.17,511.1,0.96,3.7294751445785512,B,importado,reciclado,reprovado
1.35,503.1,0.95,13.584407767877451,C,importado,reciclado,reprovado
1.19,,1.11,0.08237101304328365,A,local,novo,aprovado
0.97,511.2,1.11,14.86959122338431,B,local,novo,reprovado
0.89,488.9,1.06,0.5393600344065502,C,importado,reciclado,reprovado
1.46,501.2,1.05,1.8081827924033944,B,importado,novo,reprovado
1.36,492.8,0.95,3.6016006882333222,C,importado,novo,reprovado
0.82,483.8,1.03,6.58082460169361,A,local,reciclado,reprovado
1.38,484.2,1.16,7.776773005733884,B,local,novo,reprovado
1.21,485.5,1.16,1.570777067529971,B,importado,reciclado,reprovado
1.16,504.6,1.1,1.1051084793154335,A,importado,,aprovado
0.81,484.2,1.2,0.47788554608652056,A,local,novo,reprovado
1.35,502.8,1.17,3.851260510113047,C,importado,novo,reprovado
0.94,503.5,0.94,13.822994603928636,A,local,novo,reprovado
1.31,516.2,1.02,5.847637783318547,B,local,novo,reprovado
0.81,505.1,0.94,,B,importado,novo,reprovado
1.36,519.4,1.04,2.8528229180842613,A,local,novo,reprovado
0.82,481.2,1.13,0.9701883858990634,A,local,novo,reprovado
,508.2,0.95,8.314196827254941,A,importado,novo,reprovado
0.99,481.1,1.16,12.331386005557528,A,local,novo,reprovado
0.91,509.2,1.07,13.476898749953175,B,local,novo,reprovado
1.14,495.4,1.12,8.193069053026514,C,importado,reciclado,reprovado
1.0,504.5,0.91,4.410484260465465,B,local,reciclado,aprovado
1.5,492.4,0.93,1.6426761785589123,B,local,novo,reprovado
1.21,486.4,1.09,10.017342813579447,C,local,reciclado,reprovado
1.2,508.9,1.15,4.206552256771278,A,importado,novo,aprovado
0.95,516.2,1.16,12.659436366722964,C,local,novo,reprovado
1.09,487.3,1.11,9.076816776799319,B,importado,novo,
0.89,516.8,0.96,12.883178450320889,A,local,novo,reprovado
1.33,485.6,0.96,8.49979515007727,A,importado,reciclado,reprovado
1.03,509.4,1.16,11.576135440566649,A,,novo,reprovado
1.33,518.4,0.93,4.41457726366648,A,local,reciclado,reprovado
1.06,485.9,1.11,7.545881855738722,A,importado,novo,reprovado
1.49,497.4,1.06,0.2910955935436488,A,local,novo,reprovado
0.92,493.5,1.03,9.117476149853335,C,local,novo,reprovado
0.8,495.5,1.03,8.006090213406797,A,importado,novo,reprovado
1.22,510.1,1.18,11.329234836453049,C,local,,reprovado
1.47,506.4,1.16,,C,importado,reciclado,reprovado
1.25,518.7,1.16,9.414255027523618,C,local,reciclado,reprovado
0.86,487.4,1.02,0.8502812043130098,A,importado,reciclado,reprovado
1.18,501.7,0.93,13.545145608916158,A,importado,reciclado,reprovado
